Date,Species.ID,Length,Gear.Type,Data.Type,Year,Length Type,Sex,Special,MPA,FisheryDependent
6/17/15,ACANCH,18,pots,Fishery,2015,0,0,0,0,1
6/17/15,LUTJMA,25,pots,Fishery,2015,0,0,0,0,1
6/17/15,BALIVE,25.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,24,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,23.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,24,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,18.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,17,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,22.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,15.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,16,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,18,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,18,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,18.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,16.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,16.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,16.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,19,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,18.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,19,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,18.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,19,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,18.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,19,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,18.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,17,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,22,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,19,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,16.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,16,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,15.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,16.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,16.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,17.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,19,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,17.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCO,18,pots,Fishery,2015,0,0,0,0,1
6/17/15,SERRFU,28,pots,Fishery,2015,0,0,0,0,1
6/17/15,SERRFU,25,pots,Fishery,2015,0,0,0,0,1
6/17/15,SERRFU,25,pots,Fishery,2015,0,0,0,0,1
6/17/15,SERRFU,25,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCH,16.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCH,20.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCH,18.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCH,19,pots,Fishery,2015,0,0,0,0,1
6/17/15,ACANCH,27,pots,Fishery,2015,0,0,0,0,1
6/17/15,LUTJSY,31,pots,Fishery,2015,0,0,0,0,1
6/17/15,LUTJSY,30.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,LUTJSY,26,pots,Fishery,2015,0,0,0,0,1
6/17/15,LUTJSY,30,pots,Fishery,2015,0,0,0,0,1
6/17/15,LUTJSY,34,pots,Fishery,2015,0,0,0,0,1
6/17/15,LUTJSY,29.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,LUTJMA,24,pots,Fishery,2015,0,0,0,0,1
6/17/15,LUTJMA,24.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,BALIVE,31.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,BALIVE,32,pots,Fishery,2015,0,0,0,0,1
6/17/15,BALIVE,21,pots,Fishery,2015,0,0,0,0,1
6/17/15,SERRGU,36,pots,Fishery,2015,0,0,0,0,1
6/17/15,SERRGU,38,pots,Fishery,2015,0,0,0,0,1
6/17/15,SERRGU,29.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,31.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,27,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,25,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,24,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,24.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,23.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,24.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,24.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,25,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,23,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,23.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,25,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,26.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,24,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,25.5,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,22,pots,Fishery,2015,0,0,0,0,1
6/17/15,HOLOAD,28,pots,Fishery,2015,0,0,0,0,1
6/18/15,ACANCO,20.5,pots,Fishery,2015,0,0,0,0,1
6/18/15,SERRFU,26,pots,Fishery,2015,0,0,0,0,1
6/18/15,SERRFU,27,pots,Fishery,2015,0,0,0,0,1
6/18/15,ACANCH,22.5,pots,Fishery,2015,0,0,0,0,1
6/18/15,ACANCH,20.5,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,26.5,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,24.5,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,26.5,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,26,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,26.5,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,24.5,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,24.5,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,26,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,25,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,23.5,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,23.5,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,23,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,24,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,23,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,24,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,23.5,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,24,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,27,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,22,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,24.5,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,23,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJSY,23,pots,Fishery,2015,0,0,0,0,1
6/18/15,PTERVO,37,pots,Fishery,2015,0,0,0,0,1
6/18/15,PTERVO,35,pots,Fishery,2015,0,0,0,0,1
6/18/15,PTERVO,37,pots,Fishery,2015,0,0,0,0,1
6/18/15,PTERVO,32,pots,Fishery,2015,0,0,0,0,1
6/18/15,PTERVO,28,pots,Fishery,2015,0,0,0,0,1
6/18/15,PTERVO,27,pots,Fishery,2015,0,0,0,0,1
6/18/15,PTERVO,29,pots,Fishery,2015,0,0,0,0,1
6/18/15,PTERVO,28,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJMA,30,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJMA,42,pots,Fishery,2015,0,0,0,0,1
6/18/15,LUTJMA,28,pots,Fishery,2015,0,0,0,0,1
6/18/15,SERRGU,34,pots,Fishery,2015,0,0,0,0,1
6/18/15,SERRGU,29,pots,Fishery,2015,0,0,0,0,1
6/18/15,HOLOAD,21,pots,Fishery,2015,0,0,0,0,1
6/18/15,SERRFU,26,pots,Fishery,2015,0,0,0,0,1
6/18/15,BELO,71,beach seine,Fishery,2015,0,0,0,0,1
6/18/15,BELO,75,beach seine,Fishery,2015,0,0,0,0,1
6/18/15,BELO,61.5,beach seine,Fishery,2015,0,0,0,0,1
6/18/15,BELO,72.5,beach seine,Fishery,2015,0,0,0,0,1
6/18/15,BELO,67,beach seine,Fishery,2015,0,0,0,0,1
6/18/15,BELO,61.5,beach seine,Fishery,2015,0,0,0,0,1
6/18/15,LUTJVI,29.5,line,Fishery,2015,0,0,0,0,1
6/18/15,LUTJVI,26.5,line,Fishery,2015,0,0,0,0,1
6/18/15,LUTJVI,27,line,Fishery,2015,0,0,0,0,1
6/18/15,LUTJVI,26.5,line,Fishery,2015,0,0,0,0,1
6/18/15,LUTJVI,28.5,line,Fishery,2015,0,0,0,0,1
6/18/15,LUTJVI,27.5,line,Fishery,2015,0,0,0,0,1
6/18/15,LUTJVI,21,line,Fishery,2015,0,0,0,0,1
6/18/15,LUTJVI,23,line,Fishery,2015,0,0,0,0,1
6/19/15,CARARU,34.5,beach seine,Fishery,2015,0,0,0,0,1
6/19/15,CARARU,24,beach seine,Fishery,2015,0,0,0,0,1
6/19/15,CARARU,24,beach seine,Fishery,2015,0,0,0,0,1
6/19/15,CARARU,23.5,beach seine,Fishery,2015,0,0,0,0,1
6/19/15,CARARU,28,beach seine,Fishery,2015,0,0,0,0,1
6/19/15,CARARU,22.5,beach seine,Fishery,2015,0,0,0,0,1
6/19/15,BELO,66.5,beach seine,Fishery,2015,0,0,0,0,1
6/19/15,ACANCO,18.5,pots,Fishery,2015,0,0,0,0,1
6/19/15,ACANCH,19,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,25,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,27.5,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,35.5,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,30.5,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,27.5,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,26,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,27,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,28.5,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,31.5,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,35.5,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,31,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,34,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,28,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,27.5,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,31,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,26,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,31.5,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,28,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,33.5,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,31,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,30.5,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,31,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,32,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,27.5,pots,Fishery,2015,0,0,0,0,1
6/19/15,HOLOAD,20,pots,Fishery,2015,0,0,0,0,1
6/19/15,HOLOAD,21.5,pots,Fishery,2015,0,0,0,0,1
6/19/15,HOLOAD,20.5,pots,Fishery,2015,0,0,0,0,1
6/19/15,HOLOAD,20.5,pots,Fishery,2015,0,0,0,0,1
6/19/15,HOLOAD,20.5,pots,Fishery,2015,0,0,0,0,1
6/19/15,ACANCO,17.5,pots,Fishery,2015,0,0,0,0,1
6/19/15,ACANCH,18,pots,Fishery,2015,0,0,0,0,1
6/19/15,SERRGU,32,pots,Fishery,2015,0,0,0,0,1
6/19/15,HOLOAD,22,pots,Fishery,2015,0,0,0,0,1
6/20/15,CARARU,21,pots,Fishery,2015,0,0,0,0,1
6/20/15,CARARU,23,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCO,17,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCO,18.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCO,19.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCO,17.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCO,18.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCO,20,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCO,17,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCO,18.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCO,19,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCO,20,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCO,19.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCO,18,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCO,19,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCO,19,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCO,18,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCO,17.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRFU,20.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRFU,24,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRFU,24.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRFU,24.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRFU,22.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRFU,23,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRFU,25,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRFU,24,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRFU,22,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRFU,22.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRFU,23,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCH,16.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCH,15.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCH,23,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCH,16,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCH,14,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCH,17.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCH,13,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCH,16.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCH,23.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,19.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,19.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,20.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,18.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,18.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,17.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,20,pots,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,19.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,23,pots,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,21.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,23,pots,Fishery,2015,0,0,0,0,1
6/20/15,BALIVE,27.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,BALIVE,27,pots,Fishery,2015,0,0,0,0,1
6/20/15,BALIVE,21.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,BALIVE,31,pots,Fishery,2015,0,0,0,0,1
6/20/15,BALIVE,34,pots,Fishery,2015,0,0,0,0,1
6/20/15,BALIVE,27.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,29,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,34,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,31,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,31,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,40,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,33,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,28,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,36.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,27,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,34,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,28,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,38,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,40,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,32,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,32.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,36.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,33,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,26.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,32.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,32.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,33,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,37,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,29,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,30,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,33,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,32,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,26,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,26.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,29,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,32,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,28,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,37,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,32.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,31.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,33.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,29,pots,Fishery,2015,0,0,0,0,1
6/20/15,SCARVI,35,pots,Fishery,2015,0,0,0,0,1
6/20/15,SCARVI,33,pots,Fishery,2015,0,0,0,0,1
6/20/15,SCARVI,33.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SCARVI,23,pots,Fishery,2015,0,0,0,0,1
6/20/15,HOLOAD,18,pots,Fishery,2015,0,0,0,0,1
6/20/15,HOLOAD,18,pots,Fishery,2015,0,0,0,0,1
6/20/15,HOLOAD,19.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,HOLOAD,17.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,HOLOAD,21,pots,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,25.5,line,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,25.5,line,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,25,line,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,22.5,line,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,26,line,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,29,line,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,25,line,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,24,line,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,19.5,line,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,26,line,Fishery,2015,0,0,0,0,1
6/20/15,HOLOAD,21.5,line,Fishery,2015,0,0,0,0,1
6/20/15,LUTJVI,33.5,line,Fishery,2015,0,0,0,0,1
6/20/15,LUTJVI,30.5,line,Fishery,2015,0,0,0,0,1
6/20/15,LUTJVI,36,line,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,19.5,line,Fishery,2015,0,0,0,0,1
6/20/15,LUTJMA,19,line,Fishery,2015,0,0,0,0,1
6/20/15,BALIVE,28.5,line,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,28,line,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,22,line,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,38.5,line,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,35.5,line,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,33.5,line,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,35.5,line,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,35.3,line,Fishery,2015,0,0,0,0,1
6/20/15,ACANCO,21.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,ACANCO,21.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,37,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,33,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,29,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,34.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,30.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,28.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,39,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,28.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,32.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,33,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,29.5,pots,Fishery,2015,0,0,0,0,1
6/20/15,SERRGU,31,pots,Fishery,2015,0,0,0,0,1
6/20/15,HOLOAD,23,pots,Fishery,2015,0,0,0,0,1
6/21/15,ACANCO,17,pots,Fishery,2015,0,0,0,0,1
6/21/15,ACANCO,17.5,pots,Fishery,2015,0,0,0,0,1
6/21/15,ACANCO,17.5,pots,Fishery,2015,0,0,0,0,1
6/21/15,ACANCO,16,pots,Fishery,2015,0,0,0,0,1
6/21/15,ACANCO,16,pots,Fishery,2015,0,0,0,0,1
6/21/15,ACANCH,24.5,pots,Fishery,2015,0,0,0,0,1
6/21/15,ACANCH,24,pots,Fishery,2015,0,0,0,0,1
6/21/15,ACANCH,15.5,pots,Fishery,2015,0,0,0,0,1
6/21/15,ACANCH,17.5,pots,Fishery,2015,0,0,0,0,1
6/21/15,ACANCH,14.5,pots,Fishery,2015,0,0,0,0,1
6/21/15,ACANCH,17.5,pots,Fishery,2015,0,0,0,0,1
6/21/15,ACANCH,15.5,pots,Fishery,2015,0,0,0,0,1
6/21/15,ACANCH,15.5,pots,Fishery,2015,0,0,0,0,1
6/21/15,ACANCH,16,pots,Fishery,2015,0,0,0,0,1
6/21/15,ACANCH,16.5,pots,Fishery,2015,0,0,0,0,1
6/21/15,ACANCH,14.5,pots,Fishery,2015,0,0,0,0,1
6/21/15,ACANCH,16,pots,Fishery,2015,0,0,0,0,1
6/21/15,ACANCH,16.5,pots,Fishery,2015,0,0,0,0,1
6/21/15,ACANCH,17.5,pots,Fishery,2015,0,0,0,0,1
6/21/15,SERRGU,35,pots,Fishery,2015,0,0,0,0,1
6/21/15,HOLOAD,23.5,pots,Fishery,2015,0,0,0,0,1
